s,mV
0.0161,-85.37720211139587
0.0162,-85.37720387990687
0.016300000000000002,-85.37720564841788
0.0164,-85.37720741692888
0.0165,-85.37720918543988
0.0166,-85.37721095395088
0.0167,-85.37721272246189
0.016800000000000002,-85.37721449097289
0.016900000000000002,-85.37721625948389
0.017,-85.3772180279949
0.0171,-85.3772197965059
0.0172,-85.3772215650169
0.0173,-85.37722333352791
0.017400000000000002,-85.3772251020389
0.0175,-85.3772268705499
0.0176,-85.37722863906092
0.0177,-85.37723040757191
0.0178,-85.37723217608291
0.017900000000000003,-85.37723394459393
0.018,-85.37723956992387
0.0181,-85.37724628942374
0.0182,-85.37725300892362
0.0183,-85.3772597284235
0.018400000000000003,-85.37726644792336
0.0185,-85.37727316742324
0.018600000000000002,-85.3772798869231
0.018699999999999998,-85.37728660642298
0.0188,-85.37729332592286
0.018900000000000004,-85.37730004542273
0.019,-85.37730676492261
0.019100000000000002,-85.37731348442249
0.019200000000000002,-85.37732020392235
0.0193,-85.37732692342223
0.0194,-85.37733364292211
0.0195,-85.37734036242198
0.019600000000000003,-85.37734708192185
0.019700000000000002,-85.37735380142173
0.0198,-85.3773605209216
0.0199,-85.37736724042148
0.02,-85.37737395992134
0.0201,-85.37738067942122
0.020200000000000003,-85.3773873989211
0.020300000000000002,-85.37739411842097
0.0204,-85.37740083792085
0.0205,-85.37740755742072
0.0206,-85.37741427692059
0.020700000000000003,-85.37742099642047
0.0208,-85.37742771592035
0.020900000000000002,-85.37743443542021
0.021,-85.37744115492009
0.0211,-85.37744787441996
0.021200000000000004,-85.37745459391984
0.0213,-85.37746131341972
0.021400000000000002,-85.37746803291958
0.0215,-85.37747475241946
0.0216,-85.37748147191934
0.021700000000000004,-85.3774881914192
0.0218,-85.37749491091908
0.021900000000000003,-85.37750163041896
0.022,-85.37750834991883
0.0221,-85.3775150694187
0.022200000000000004,-85.37752178891857
0.0223,-85.37752850841845
0.022400000000000003,-85.37753522791833
0.0225,-85.3775419474182
0.022600000000000002,-85.37754866691807
0.0227,-85.37755538641795
0.0228,-85.37756210591782
0.022900000000000004,-85.3775688254177
0.023,-85.37757554491758
0.023100000000000002,-85.37758226441744
0.023200000000000002,-85.37758898391732
0.0233,-85.37759570341719
0.0234,-85.37760242291706
0.0235,-85.37760914241694
0.023600000000000003,-85.37761586191681
0.023700000000000002,-85.37762258141669
0.0238,-85.37762930091657
0.0239,-85.37763602041643
0.024,-85.37764273991631
0.0241,-85.37764945941619
0.024200000000000003,-85.37765617891606
0.024300000000000002,-85.37766289841593
0.0244,-85.3776696179158
0.0245,-85.37767633741568
0.0246,-85.37768305691556
0.024700000000000003,-85.37768977641542
0.0248,-85.3776964959153
0.024900000000000002,-85.37770321541518
0.025,-85.37770993491505
0.0251,-85.37771665441493
0.025200000000000004,-85.3777233739148
0.0253,-85.37773009341467
0.025400000000000002,-85.37773681291455
0.0255,-85.37774353241441
0.0256,-85.37775025191429
0.025700000000000004,-85.37775697141417
0.0258,-85.37776369091404
0.025900000000000003,-85.37777041041392
0.026,-85.3777771299138
0.0261,-85.37778384941366
0.026200000000000005,-85.37779056891354
0.0263,-85.37779728841342
0.026400000000000003,-85.37780400791328
0.0265,-85.37781072741316
0.026600000000000002,-85.37781744691303
0.0267,-85.3778241664129
0.0268,-85.37783088591279
0.026900000000000004,-85.37783760541265
0.027,-85.37784432491253
0.027100000000000003,-85.37785104441241
0.027200000000000002,-85.37785776391227
0.0273,-85.37786448341215
0.0274,-85.37787120291203
0.0275,-85.3778779224119
0.027600000000000003,-85.37788464191178
0.027700000000000002,-85.37789136141164
0.027800000000000002,-85.37789808091152
0.0279,-85.3779048004114
0.028,-85.37791151991127
0.0281,-85.37791823941114
0.028200000000000003,-85.37792495891102
0.028300000000000002,-85.37793167841089
0.0284,-85.37793839791077
0.0285,-85.37794511741065
0.0286,-85.37795183691051
0.028700000000000003,-85.37795855641039
0.0288,-85.37796527591026
0.028900000000000002,-85.37797199541014
0.029,-85.37797871491001
0.0291,-85.37798543440988
0.029200000000000004,-85.37799215390976
0.0293,-85.37799887340964
0.029400000000000003,-85.3780055929095
0.0295,-85.37801231240938
0.0296,-85.37801903190926
0.029700000000000004,-85.37802575140913
0.0298,-85.378032470909
0.029900000000000003,-85.37803919040887
0.03,-85.37804590990875
0.030100000000000002,-85.37805262940863
0.0302,-85.3780593489085
0.0303,-85.37806688323487
0.030400000000000003,-85.3780747202959
0.0305,-85.37808255735693
0.030600000000000002,-85.37809039441798
0.0307,-85.37809823147902
0.0308,-85.37810606854006
0.030900000000000004,-85.3781139056011
0.031,-85.37812174266215
0.031100000000000003,-85.37812957972318
0.031200000000000002,-85.37813741678421
0.0313,-85.37814525384526
0.031400000000000004,-85.3781530909063
0.0315,-85.37816092796734
0.0316,-85.37816876502838
0.031700000000000006,-85.37817660208941
0.0318,-85.37818443915046
0.031900000000000005,-85.3781922762115
0.032,-85.37820011327254
