# Analysis start time: 				19969.760000000002 ms
# Analysis stop time:				21377.960000000003 ms
# Upper limit for maxima:			50.0 mV
# Lower limit for maxima:			-10.0 mV
# Upper limit for minima:			-50.0 mV
# Lower limit for minima:			-90.0 mV
# Maximum peak half width:			250.0 ms
# Minimum peak amplitude:			50.0 mV
# Running average window size:		25
# Window multiplier for derivative:	1.0
# Window multiplier for maxima:		4.0
# Window multiplier for minima:		16.0
# Time (ms)	Averaged signal (mV)	Filtered average (mV)
-1.724200e+02	-3.770752e+01	-3.770108e+01
-1.724000e+02	-3.772430e+01	-3.772029e+01
-1.723800e+02	-3.774212e+01	-3.773936e+01
-1.723600e+02	-3.775788e+01	-3.775852e+01
-1.723400e+02	-3.777873e+01	-3.777798e+01
-1.723200e+02	-3.780260e+01	-3.779763e+01
-1.723000e+02	-3.781992e+01	-3.781733e+01
-1.722800e+02	-3.783468e+01	-3.783652e+01
-1.722600e+02	-3.785502e+01	-3.785524e+01
-1.722400e+02	-3.786927e+01	-3.787330e+01
-1.722200e+02	-3.788553e+01	-3.789099e+01
-1.722000e+02	-3.790282e+01	-3.790878e+01
-1.721800e+02	-3.792265e+01	-3.792655e+01
-1.721600e+02	-3.794607e+01	-3.794427e+01
-1.721400e+02	-3.796795e+01	-3.796152e+01
-1.721200e+02	-3.798675e+01	-3.797850e+01
-1.721000e+02	-3.800508e+01	-3.799542e+01
-1.720800e+02	-3.801575e+01	-3.801243e+01
-1.720600e+02	-3.802745e+01	-3.802989e+01
-1.720400e+02	-3.804575e+01	-3.804742e+01
-1.720200e+02	-3.805897e+01	-3.806492e+01
-1.720000e+02	-3.808188e+01	-3.808250e+01
-1.719800e+02	-3.809868e+01	-3.809999e+01
-1.719600e+02	-3.811290e+01	-3.811794e+01
-1.719400e+02	-3.813070e+01	-3.813604e+01
-1.719200e+02	-3.815105e+01	-3.815473e+01
-1.719000e+02	-3.817443e+01	-3.817425e+01
-1.718800e+02	-3.819682e+01	-3.819421e+01
-1.718600e+02	-3.821412e+01	-3.821473e+01
-1.718400e+02	-3.823393e+01	-3.823548e+01
-1.718200e+02	-3.825328e+01	-3.825593e+01
-1.718000e+02	-3.827413e+01	-3.827582e+01
-1.717800e+02	-3.829397e+01	-3.829530e+01
-1.717600e+02	-3.831890e+01	-3.831429e+01
-1.717400e+02	-3.834228e+01	-3.833317e+01
-1.717200e+02	-3.835703e+01	-3.835180e+01
-1.717000e+02	-3.837687e+01	-3.836967e+01
-1.716800e+02	-3.839060e+01	-3.838749e+01
-1.716600e+02	-3.840333e+01	-3.840512e+01
-1.716400e+02	-3.842113e+01	-3.842232e+01
-1.716200e+02	-3.843382e+01	-3.843921e+01
-1.716000e+02	-3.845010e+01	-3.845523e+01
-1.715800e+02	-3.846588e+01	-3.847088e+01
-1.715600e+02	-3.848318e+01	-3.848610e+01
-1.715400e+02	-3.850403e+01	-3.850111e+01
-1.715200e+02	-3.851978e+01	-3.851604e+01
-1.715000e+02	-3.853862e+01	-3.853156e+01
-1.714800e+02	-3.855387e+01	-3.854803e+01
-1.714600e+02	-3.857320e+01	-3.856505e+01
-1.714400e+02	-3.858185e+01	-3.858256e+01
-1.714200e+02	-3.859253e+01	-3.860042e+01
-1.714000e+02	-3.861033e+01	-3.861866e+01
-1.713800e+02	-3.862763e+01	-3.863763e+01
-1.713600e+02	-3.865103e+01	-3.865692e+01
-1.713400e+02	-3.867087e+01	-3.867645e+01
-1.713200e+02	-3.869373e+01	-3.869614e+01
-1.713000e+02	-3.871767e+01	-3.871619e+01
-1.712800e+02	-3.874207e+01	-3.873668e+01
-1.712600e+02	-3.876445e+01	-3.875749e+01
-1.712400e+02	-3.878275e+01	-3.877831e+01
-1.712200e+02	-3.880007e+01	-3.879942e+01
-1.712000e+02	-3.882395e+01	-3.882132e+01
-1.711800e+02	-3.884583e+01	-3.884269e+01
-1.711600e+02	-3.886513e+01	-3.886353e+01
-1.711400e+02	-3.888245e+01	-3.888404e+01
-1.711200e+02	-3.889973e+01	-3.890401e+01
-1.711000e+02	-3.892008e+01	-3.892390e+01
-1.710800e+02	-3.894097e+01	-3.894319e+01
-1.710600e+02	-3.895977e+01	-3.896221e+01
-1.710400e+02	-3.898060e+01	-3.898080e+01
-1.710200e+02	-3.899843e+01	-3.899909e+01
-1.710000e+02	-3.902485e+01	-3.901725e+01
-1.709800e+02	-3.904317e+01	-3.903542e+01
-1.709600e+02	-3.905487e+01	-3.905327e+01
-1.709400e+02	-3.907368e+01	-3.907133e+01
-1.709200e+02	-3.908947e+01	-3.908926e+01
-1.709000e+02	-3.910573e+01	-3.910729e+01
-1.708800e+02	-3.912252e+01	-3.912505e+01
-1.708600e+02	-3.913627e+01	-3.914237e+01
-1.708400e+02	-3.915457e+01	-3.915964e+01
-1.708200e+02	-3.917033e+01	-3.917701e+01
-1.708000e+02	-3.919117e+01	-3.919368e+01
-1.707800e+02	-3.921357e+01	-3.921008e+01
-1.707600e+02	-3.923388e+01	-3.922611e+01
-1.707400e+02	-3.924763e+01	-3.924248e+01
-1.707200e+02	-3.926442e+01	-3.925901e+01
-1.707000e+02	-3.927867e+01	-3.927553e+01
-1.706800e+02	-3.929748e+01	-3.929238e+01
-1.706600e+02	-3.931022e+01	-3.930988e+01
-1.706400e+02	-3.932547e+01	-3.932776e+01
-1.706200e+02	-3.934328e+01	-3.934619e+01
-1.706000e+02	-3.935698e+01	-3.936452e+01
-1.705800e+02	-3.936818e+01	-3.938278e+01
-1.705600e+02	-3.939160e+01	-3.940075e+01
-1.705400e+02	-3.941293e+01	-3.941873e+01
-1.705200e+02	-3.943583e+01	-3.943690e+01
-1.705000e+02	-3.945972e+01	-3.945568e+01
-1.704800e+02	-3.948262e+01	-3.947427e+01
-1.704600e+02	-3.950247e+01	-3.949297e+01
-1.704400e+02	-3.952380e+01	-3.951137e+01
-1.704200e+02	-3.953603e+01	-3.952951e+01
-1.704000e+02	-3.955077e+01	-3.954690e+01
-1.703800e+02	-3.956045e+01	-3.956398e+01
-1.703600e+02	-3.957470e+01	-3.958050e+01
-1.703400e+02	-3.959150e+01	-3.959641e+01
-1.703200e+02	-3.960928e+01	-3.961162e+01
-1.703000e+02	-3.962758e+01	-3.962676e+01
-1.702800e+02	-3.964690e+01	-3.964196e+01
-1.702600e+02	-3.965758e+01	-3.965709e+01
-1.702400e+02	-3.967388e+01	-3.967280e+01
-1.702200e+02	-3.968607e+01	-3.968928e+01
-1.702000e+02	-3.970082e+01	-3.970664e+01
-1.701800e+02	-3.971915e+01	-3.972456e+01
-1.701600e+02	-3.974000e+01	-3.974253e+01
-1.701400e+02	-3.975523e+01	-3.976028e+01
-1.701200e+02	-3.977763e+01	-3.977783e+01
-1.701000e+02	-3.979748e+01	-3.979524e+01
-1.700800e+02	-3.981475e+01	-3.981260e+01
-1.700600e+02	-3.983358e+01	-3.983021e+01
-1.700400e+02	-3.985035e+01	-3.984776e+01
-1.700200e+02	-3.987325e+01	-3.986554e+01
-1.700000e+02	-3.989005e+01	-3.988310e+01
-1.699800e+02	-3.990430e+01	-3.990065e+01
-1.699600e+02	-3.991343e+01	-3.991788e+01
-1.699400e+02	-3.992970e+01	-3.993449e+01
-1.699200e+02	-3.994497e+01	-3.995116e+01
-1.699000e+02	-3.996733e+01	-3.996785e+01
-1.698800e+02	-3.998312e+01	-3.998429e+01
-1.698600e+02	-4.000090e+01	-4.000091e+01
-1.698400e+02	-4.001925e+01	-4.001753e+01
-1.698200e+02	-4.003348e+01	-4.003462e+01
-1.698000e+02	-4.005382e+01	-4.005205e+01
-1.697800e+02	-4.007213e+01	-4.006960e+01
-1.697600e+02	-4.008842e+01	-4.008821e+01
-1.697400e+02	-4.010518e+01	-4.010701e+01
-1.697200e+02	-4.012148e+01	-4.012600e+01
