filename,sweep,peakPhase
2021_12_09_0011.abf,1,0.350000000000001
2021_12_09_0011.abf,1,0.0383
2021_12_09_0011.abf,1,0.3796
2021_12_09_0011.abf,1,0.714500000000001
2021_12_09_0011.abf,1,0.033300000000001
2021_12_09_0011.abf,1,0.3489
2021_12_09_0011.abf,1,0.712700000000002
2021_12_09_0011.abf,1,0.060099999999999
2021_12_09_0011.abf,1,0.383500000000002
2021_12_09_0011.abf,1,0.676500000000001
2021_12_09_0011.abf,1,0.003900000000002
2021_12_09_0011.abf,1,0.287099999999999
2021_12_09_0011.abf,1,0.589299999999998
2021_12_09_0011.abf,1,0.901
2021_12_09_0011.abf,1,0.205299999999998
2021_12_09_0011.abf,1,0.484299999999998
2021_12_09_0011.abf,1,0.768799999999999
2021_12_09_0011.abf,1,0.067499999999999
2021_12_09_0011.abf,1,0.3535
2021_12_09_0011.abf,1,0.6861
2021_12_09_0011.abf,2,0.0963
2021_12_09_0011.abf,2,0.3782
2021_12_09_0011.abf,2,0.6641
2021_12_09_0011.abf,2,0.9853
2021_12_09_0011.abf,2,0.271199999999999
2021_12_09_0011.abf,2,0.5564
2021_12_09_0011.abf,2,0.8282
2021_12_09_0011.abf,2,0.1356
2021_12_09_0011.abf,2,0.408600000000001
2021_12_09_0011.abf,2,0.6974
2021_12_09_0011.abf,2,0.000500000000001
2021_12_09_0011.abf,2,0.3081
2021_12_09_0011.abf,2,0.6289
2021_12_09_0011.abf,2,0.9535
2021_12_09_0011.abf,2,0.254799999999999
2021_12_09_0011.abf,2,0.572100000000001
2021_12_09_0011.abf,2,0.892299999999999
2021_12_09_0011.abf,2,0.2164
2021_12_09_0011.abf,2,0.545399999999999
2021_12_09_0011.abf,2,0.8568
2021_12_09_0011.abf,2,0.163500000000001
2021_12_09_0011.abf,2,0.4772
2021_12_09_0011.abf,2,0.800799999999999
2021_12_09_0011.abf,2,0.125399999999999
2021_12_09_0011.abf,2,0.4534
2021_12_09_0011.abf,2,0.756399999999999
2021_12_09_0011.abf,2,0.0853
2021_12_09_0011.abf,2,0.369200000000001
2021_12_09_0011.abf,2,0.6868
2021_12_09_0011.abf,2,0.000299999999999
2021_12_09_0011.abf,2,0.2927
2021_12_09_0011.abf,2,0.58
2021_12_09_0011.abf,2,0.9095
2021_12_09_0011.abf,2,0.201600000000001
2021_12_09_0011.abf,2,0.523299999999999
2021_12_09_0011.abf,2,0.8613
2021_12_09_0011.abf,2,0.1555
2021_12_09_0011.abf,2,0.4633
2021_12_09_0011.abf,2,0.800699999999999
2021_12_09_0011.abf,2,0.100000000000001
2021_12_09_0011.abf,2,0.395799999999998
2021_12_09_0011.abf,2,0.674099999999999
2021_12_09_0011.abf,2,0.006700000000002
2021_12_09_0011.abf,2,0.363799999999998
2021_12_09_0011.abf,2,0.675999999999998
2021_12_09_0011.abf,2,0.011599999999998
2021_12_09_0011.abf,2,0.319900000000001
2021_12_09_0011.abf,2,0.634799999999999
2021_12_09_0011.abf,2,0.932400000000001
2021_12_09_0011.abf,2,0.236099999999997
2021_12_09_0011.abf,2,0.526299999999999
2021_12_09_0011.abf,2,0.827099999999998
2021_12_09_0011.abf,2,0.1234
2021_12_09_0011.abf,2,0.4132
2021_12_09_0011.abf,2,0.758099999999999
2021_12_09_0011.abf,2,0.053699999999999
2021_12_09_0011.abf,2,0.3325
2021_12_09_0011.abf,2,0.635300000000001
2021_12_09_0011.abf,2,0.905799999999999
2021_12_09_0011.abf,2,0.203700000000001
2021_12_09_0011.abf,2,0.494499999999999
2021_12_09_0011.abf,2,0.8064
2021_12_09_0011.abf,2,0.126999999999999
2021_12_09_0011.abf,2,0.410900000000002
2021_12_09_0011.abf,2,0.763500000000001
2021_12_09_0011.abf,3,0.117
2021_12_09_0011.abf,3,0.583399999999999
2021_12_09_0011.abf,3,0.835
2021_12_09_0011.abf,3,0.0853
2021_12_09_0011.abf,3,0.328100000000001
2021_12_09_0011.abf,3,0.5673
2021_12_09_0011.abf,3,0.7895
2021_12_09_0011.abf,3,0.021000000000001
2021_12_09_0011.abf,3,0.247299999999999
2021_12_09_0011.abf,3,0.469100000000001
2021_12_09_0011.abf,3,0.6998
